 ID , month , day , RH 
 22 , sep , mon , 38 
 23 , jun , sun , 44 
 24 , aug , sat , 43 
 25 , aug , sat , 32 
 26 , aug , sun , 60 
 27 , sep , fri , 34 
 28 , sep , mon , 48 
 29 , sep , sat , 24 
 30 , sep , sun , 39 
 10 , sep , sat , 40 
 11 , sep , sat , 51 
 12 , sep , sat , 38 
 13 , aug , fri , 72 
 14 , sep , mon , 42 
 15 , sep , wed , 21 
 16 , sep , fri , 44 
 17 , mar , sat , 27 
 18 , oct , mon , 47 
 19 , mar , wed , 35 
 1 , mar , fri , 51 
 2 , sep , sun , 33 
 3 , oct , sat , 33 
 4 , mar , fri , 97 
 5 , mar , sun , 99 
 6 , aug , sun , 29 
 7 , aug , mon , 27 
 8 , aug , mon , 86 
 9 , sep , tue , 63 
 20 , apr , sat , 44 
 21 , oct , tue , 21 
